Period,From date,To date,Geographic area,Age group,Male Cases,Male Rate,Female Cases,Female Rate,Total Cases,Total Rate,Male Hospitalizations,Male Hospitalizations Rate,Female Hospitalizations,Female Hospitalizations Rate,Total Hospitalizations Count,Total Hospitalizations Rate,Unknown Sex Hospitalizations,Unknown Sex Cases,Unknown Age and Sex Hospitalizations,Unknown Age and Sex Cases
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Brant County Health Unit,0 to 4,0,0,1,24.8,1,11.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Brant County Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Brant County Health Unit,20 to 39,0,0,2,10.1,2,4.9,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Brant County Health Unit,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Brant County Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Brant County Health Unit,60 to 79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Brant County Health Unit,80+,1,38.5,0,0,1,15,1,38.5,0,0,1,15,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Brant County Health Unit,All ages,1,1.3,3,3.8,4,2.6,1,1.3,0,0,1,0.6,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Durham Region Health Department ,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Durham Region Health Department ,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Durham Region Health Department ,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Durham Region Health Department ,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Durham Region Health Department ,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Durham Region Health Department ,60 to 79,2,3.1,2,2.8,4,2.9,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Durham Region Health Department ,80+,2,19.7,3,18.8,5,19.1,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Durham Region Health Department ,All ages,4,1.1,5,1.4,9,1.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Grey Bruce Health Unit,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Grey Bruce Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Grey Bruce Health Unit,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Grey Bruce Health Unit,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Grey Bruce Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Grey Bruce Health Unit,60 to 79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Grey Bruce Health Unit,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Grey Bruce Health Unit,All ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Haldimand-Norfolk Health Unit,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Haldimand-Norfolk Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Haldimand-Norfolk Health Unit,20 to 39,0,0,1,7.6,1,3.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Haldimand-Norfolk Health Unit,40 to 59,0,0,1,6.8,1,3.3,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Haldimand-Norfolk Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Haldimand-Norfolk Health Unit,60 to 79,1,6.4,2,12.3,3,9.4,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Haldimand-Norfolk Health Unit,80+,4,144.7,6,172.4,10,160.2,1,36.2,1,28.7,2,32,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Haldimand-Norfolk Health Unit,All ages,5,8.1,10,16.6,15,12.3,1,1.6,1,1.7,2,1.6,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",40 to 59,1,4.2,0,0,1,2.1,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",60 to 79,0,0,1,3.2,1,1.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",80+,0,0,3,40,3,22.3,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Haliburton, Kawartha, Pine Ridge District Health Unit ",All ages,1,1,4,4.1,5,2.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Halton Region Public Health,0 to 4,1,6.4,0,0,1,3.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Halton Region Public Health,12 to 19,0,0,1,3,1,1.5,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Halton Region Public Health,20 to 39,0,0,1,1.3,1,0.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Halton Region Public Health,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Halton Region Public Health,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Halton Region Public Health,60 to 79,4,7.7,2,3.4,6,5.5,1,1.9,0,0,1,0.9,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Halton Region Public Health,80+,3,28.6,1,6.4,4,15.3,1,9.5,1,6.4,2,7.6,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Halton Region Public Health,All ages,8,2.6,5,1.6,13,2.1,2,0.7,1,0.3,3,0.5,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",City of Hamilton Public Health Services,0 to 4,3,19.7,6,42,9,30.5,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",City of Hamilton Public Health Services,12 to 19,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",City of Hamilton Public Health Services,20 to 39,1,1.2,1,1.2,2,1.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",City of Hamilton Public Health Services,40 to 59,1,1.3,3,3.9,4,2.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",City of Hamilton Public Health Services,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",City of Hamilton Public Health Services,60 to 79,4,7.1,4,6.4,8,6.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",City of Hamilton Public Health Services,80+,5,45.6,12,69.7,17,60.4,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",City of Hamilton Public Health Services,All ages,14,4.8,28,9.4,42,7.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Hastings Prince Edward Public Health,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Hastings Prince Edward Public Health,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Hastings Prince Edward Public Health,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Hastings Prince Edward Public Health,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Hastings Prince Edward Public Health,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Hastings Prince Edward Public Health,60 to 79,1,4.4,0,0,1,2.1,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Hastings Prince Edward Public Health,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Hastings Prince Edward Public Health,All ages,1,1.2,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Chatham-Kent Public Health,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Chatham-Kent Public Health,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Chatham-Kent Public Health,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Chatham-Kent Public Health,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Chatham-Kent Public Health,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Chatham-Kent Public Health,60 to 79,0,0,2,14.2,2,7.3,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Chatham-Kent Public Health,80+,0,0,2,51.8,2,31.3,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Chatham-Kent Public Health,All ages,0,0,4,7.4,4,3.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",20 to 39,1,3.5,2,7.3,3,5.3,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",40 to 59,0,0,0,0,0,0,1,3.8,0,0,1,1.9,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",60 to 79,3,12.7,1,3.8,4,8,2,8.5,0,0,2,4,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",80+,4,85.6,7,104,11,96.4,1,21.4,2,29.7,3,26.3,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Kingston, Frontenac and Lennox & Addington Public Health",All ages,8,7.7,10,9.4,18,8.6,4,3.9,2,1.9,6,2.9,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Lambton Public Health,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Lambton Public Health,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Lambton Public Health,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Lambton Public Health,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Lambton Public Health,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Lambton Public Health,60 to 79,0,0,1,5.5,1,2.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Lambton Public Health,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Lambton Public Health,All ages,0,0,1,1.5,1,0.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",60 to 79,0,0,1,3.7,1,1.9,0,0,1,3.7,1,1.9,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",80+,1,22.3,0,0,1,9.4,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023","Leeds, Grenville & Lanark District Health Unit",All ages,1,1.1,1,1.1,2,1.1,0,0,1,1.1,1,0.6,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Middlesex-London Health Unit,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Middlesex-London Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Middlesex-London Health Unit,20 to 39,0,0,1,1.3,1,0.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Middlesex-London Health Unit,40 to 59,1,1.6,1,1.6,2,1.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Middlesex-London Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Middlesex-London Health Unit,60 to 79,1,2.1,3,5.6,4,3.9,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Middlesex-London Health Unit,80+,1,11.1,1,7.2,2,8.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Middlesex-London Health Unit,All ages,3,1.2,6,2.3,9,1.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Niagara Region Public Health,0 to 4,1,8.9,1,9.5,2,9.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Niagara Region Public Health,12 to 19,1,4.8,0,0,1,2.4,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Niagara Region Public Health,20 to 39,0,0,3,5.3,3,2.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Niagara Region Public Health,40 to 59,0,0,2,3.2,2,1.6,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Niagara Region Public Health,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Niagara Region Public Health,60 to 79,2,3.6,1,1.6,3,2.5,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Niagara Region Public Health,80+,1,8.5,4,22.8,5,17.1,0,0,1,5.7,1,3.4,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Niagara Region Public Health,All ages,5,2.1,11,4.5,16,3.3,0,0,1,0.4,1,0.2,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",North Bay Parry Sound District Health Unit,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",North Bay Parry Sound District Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",North Bay Parry Sound District Health Unit,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",North Bay Parry Sound District Health Unit,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",North Bay Parry Sound District Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",North Bay Parry Sound District Health Unit,60 to 79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",North Bay Parry Sound District Health Unit,80+,1,29.8,0,0,1,12.6,1,29.8,0,0,1,12.6,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",North Bay Parry Sound District Health Unit,All ages,1,1.5,0,0,1,0.8,1,1.5,0,0,1,0.8,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Northwestern Health Unit,0 to 4,1,40.8,0,0,1,21.4,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Northwestern Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Northwestern Health Unit,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Northwestern Health Unit,40 to 59,0,0,1,10,1,5,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Northwestern Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Northwestern Health Unit,60 to 79,1,11.1,0,0,1,5.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Northwestern Health Unit,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Northwestern Health Unit,All ages,2,4.8,1,2.5,3,3.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ottawa Public Health,0 to 4,3,11.9,2,8,5,9.9,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ottawa Public Health,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ottawa Public Health,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ottawa Public Health,40 to 59,3,2.2,3,2.1,6,2.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ottawa Public Health,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ottawa Public Health,60 to 79,4,4.3,2,1.9,6,3,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ottawa Public Health,80+,4,23.7,6,23.5,10,23.6,1,5.9,0,0,1,2.4,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Ottawa Public Health,All ages,14,2.7,13,2.4,27,2.6,1,0.2,0,0,1,0.1,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peel Public Health,0 to 4,2,4.9,2,5.1,4,5,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peel Public Health,12 to 19,1,1.3,3,4.1,4,2.7,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peel Public Health,20 to 39,1,0.4,4,1.7,5,1,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peel Public Health,40 to 59,1,0.5,4,1.9,5,1.2,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peel Public Health,5 to 11,0,0,1,1.7,1,0.8,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peel Public Health,60 to 79,7,5.6,10,7.4,17,6.5,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peel Public Health,80+,13,61.6,16,54.5,29,57.5,1,4.7,0,0,1,2,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Peel Public Health,All ages,25,3.2,40,5.1,65,4.1,1,0.1,0,0,1,0.1,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Huron Perth Health Unit,0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Huron Perth Health Unit,12 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Huron Perth Health Unit,20 to 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Huron Perth Health Unit,40 to 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Huron Perth Health Unit,5 to 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recent COVID-19 cases,"June 17, 2023","July 1, 2023",Huron Perth Health Unit,60 to 79,1,5.7,1,5.4,2,5.5,0,0,0,0,0,0,0,0,0,0
